"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"Wesley College","DE",40902.89,"41%-60%","25020","1496","0.6255",14,NA,19,"Full Tuition",14081.45
"Wilmington University","DE",18813.81,"41%-60%","10430","8674","NULL",NA,NA,NA,"Full Tuition",7632.85
"American University","DC",63092.55,"11%-40%","43103","7300","0.3502",26,NA,30,"Set Rate",26092.55
"Catholic University of America, The","DC",62482,"11%-40%",NA,NA,NA,22,25,28,"Other Tuition",NA
"George Washington University - DC, The","DC",70443,"11%-40%","53518",NA,NA,27,NA,32,"Other Tuition",33400
"Trinity Washington University","DC",37360,"11%-40%","22780","1565","0.9405",NA,NA,NA,"Full Tuition",12939.84
"Barry University","FL",46584,"11%-40%","28800","3703","0.5506",17,NA,21,"Full Tuition",15710.4
"Eckerd College","FL",59200,"Below 10%","40020","2002","0.7172",23,NA,28,"Full Tuition",16298.56
"Embry-Riddle Aeronautical University","FL",53542,"Below 10%",NA,NA,NA,NA,NA,NA,"",NA
"Flagler College","FL",33580,"11%-40%",NA,NA,NA,21,24,26,"Full Tuition",NA
"Florida Institute of Technology","FL",58920,"Below 10%","39290","3320","0.5736",24,NA,29,"Set Rate",21920
"Florida Southern College","FL",49900,"Below 10%","31460","2519","0.4533",24,NA,29,"Full Tuition",16174.88
"Jacksonville University","FL",51394.24,"41%-60%","32620","2964","0.5351",19,22,25,"Full Tuition",16425.6
"Johnson & Wales University","FL",47678,"41%-60%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Lynn University- FL","FL",NA,"41%-60%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"New College of Florida","FL",43678,"Below 10%","29944","852","0.6097",27,NA,31,"Other Tuition",27000
"Palm Beach Atlantic University","FL",45904,"Below 10%","27150","2587","0.9289",20,NA,26,"Full Tuition",16799.2
"Rollins College","FL",67695,"Below 10%","44760","2678","0.6038",24,27,29,"Set Rate",30695
"Saint Leo University","FL",36822,"11%-40%","20830","11575","0.7252",20,22,24,"Full Tuition",14492.24
"St. Thomas University","FL",49010,"91%-100%","27960","882","0.4892",17,NA,22,"Full Tuition",19036.88
"Stetson University","FL",61364,"11%-40%","41590","3042","0.6347",24,26,28,"Full Tuition",16779.52
"University of Florida","FL",43408,"Below 10%","28659","32376","0.4754",27,NA,31,"Other Tuition",21000
"University of North Florida","FL",21210,"Below 10%",NA,NA,NA,NA,NA,NA,"",NA
"University of Tampa","FL",43708,"Below 10%",NA,NA,NA,22,24,26,"Full Tuition",NA
"Agnes Scott College","GA",54065,"41%-60%","37236","846","0.6174",24,25,29,"Other Tuition",17065
"Berry College","GA",50632,"11%-40%","31996","2089","0.5537",24,NA,29,"Full Tuition",16332.288
"Brenau University","GA",44878,"91%-100%","25878","1556","0.6562",19,NA,23,"Full Tuition",17136.784
"Covenant College","GA",45920,"91%-100%","31320","1007","0.9398",24,NA,29,"Full Tuition",12344.96
"LaGrange College","GA",44930,"61%-90%","27540","905","0.5725",20,NA,24,"Full Tuition",15407.12
"Mercer University","GA",51293,"11%-40%","34450","4556","0.6688",24,NA,30,"Full Tuition",14362.6
"Oglethorpe University","GA",53490,"11%-40%","33800","1140","0.7847",22,NA,28,"Full Tuition",17256.4
"Reinhardt University","GA",46048,"",NA,NA,NA,NA,NA,NA,"",NA
"Shorter University","GA",36188,"11%-40%","20846","1345","0.6289",18,NA,24,"Other Tuition",-812
"Toccoa Falls College","GA",36200,"",NA,NA,NA,NA,NA,NA,"",NA
"Truett-McConnell University","GA",NA,"Below 10%","18000","752","0.9113",18,NA,22,"Full Tuition",NA
"Wesleyan College","GA",33318.73,"Below 10%","20290","579","NULL",18,21,23,"Full Tuition",11567.85
"Hawaii Pacific University","HI",38704,"Below 10%","22440","3940","0.913",19,22,24,"Full Tuition",14648.32
"College of Idaho (The)","ID",41489,"41%-60%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Augustana College","IL",53422,"41%-60%","38466","2454","0.4934",22,NA,29,"Full Tuition",12186.448
"Aurora University","IL",37752,"11%-40%","22080","3567","0.7724",19,NA,23,"Full Tuition",14082.24
"Benedictine University","IL",47550,"11%-40%","27465","3298","NULL",19,22,24,"Full Tuition",18107.52
"Blackburn College","IL",31402,"Below 10%","20364","579","0.5547",19,NA,24,"Other Tuition",-5598
"Bradley University","IL",46606,"11%-40%","31480","4436","0.6568",23,NA,28,"Full Tuition",12859.44
"Columbia College Chicago","IL",44904,"Below 10%","24344","8492","0.8806",20,23,26,"Full Tuition",18807.232
"Concordia University","IL",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"DePaul University","IL",57034,"11%-40%","36361","15683","0.7198",22,25,28,"Other Tuition",20034
"Dominican University","IL",45272,"41%-60%","30670","2241","0.6277",19,NA,24,"Full Tuition",12393.76
"Elmhurst College","IL",48514,"11%-40%","34450","2752","0.5478",21,NA,26,"Full Tuition",11583.6
"Illinois College","IL",42830,"41%-60%","31660","942","0.6051",18,22,25,"Full Tuition",8890.48
"Illinois Institute of Technology","IL",62486,"11%-40%","43680","2923","0.5271",25,NA,30,"Other Tuition",25486
"John Marshall Law School","IL",NA,"91%-100%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Judson University","IL",42794,"91%-100%","28170","1076","0.706",21,NA,26,"Full Tuition",12595.76
"Knox College -IL","IL",56554,"91%-100%","41847","1377","0.638",23,26,29,"Set Rate",19554
"Lewis University","IL",45340,"11%-40%","29040","4529","0.6184",20,NA,25,"Full Tuition",14209.12
"Lincoln College","IL",31697.68,"Below 10%","17700","1118","0.516",15,NA,19,"Full Tuition",12723.28
"MacMurray College","IL",35150.57,"Below 10%","24172","569","0.6267",17,NA,22,"Full Tuition",9238.186
"McKendree University","IL",42440,"41%-60%","27930","2292","0.635",19,NA,24,"Full Tuition",12499.04
"Methodist College","IL",35140,"Below 10%","20140","603","0.5128",20,NA,24,"Full Tuition",13549.92
"Millikin University","IL",47764,"11%-40%","30630","2012","0.6",20,NA,26,"Full Tuition",14928.64
"Monmouth College","IL",47970,"91%-100%","34200","1173","0.624",20,NA,26,"Full Tuition",11307.6
