"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"Wayne State University","MI",26543,"41%-60%",NA,NA,NA,NA,NA,NA,"",NA
"Western Theological Seminary","MI",NA,"Below 10%","NULL","NULL","NULL",27,NA,32,"Full Tuition",NA
"Augsburg University","MN",NA,"Below 10%",NA,NA,NA,19,22,24,"Full Tuition",NA
"Bethel University","MN",50350,"61%-90%","34140","2875","0.9491",22,NA,27,"Set Rate",13350
"College of St. Benedict","MN",56880,"41%-60%",NA,NA,NA,22,25,27,"Set Rate",NA
"College of St. Scholastica","MN",49104,"61%-90%",NA,NA,NA,20,23,26,"Full Tuition",NA
"Concordia College at Moorhead","MN",47439.52,"11%-40%","35464","2104","0.7818",22,26,28,"Full Tuition",9422.112
"Crown College","MN",39730,"91%-100%","23740","912","0.5295",19,NA,25,"Full Tuition",14280.72
"Gustavus Adolphus College","MN",55600,"61%-90%","41620","2369","0.6706",24,27,30,"Full Tuition",10983.36
"Hamline University","MN",52178,"61%-90%","37886","2167","0.7239",21,NA,28,"Set Rate",15178
"Minneapolis College of Art & Design","MN",49688,"41%-60%",NA,NA,NA,20,23,26,"Set Rate",NA
"Mitchell Hamline School Of Law","MN",NA,"91%-100%",NA,NA,NA,NA,NA,NA,"Set Rate",NA
"Saint  John's University","MN",55872,"41%-60%",NA,NA,NA,23,NA,28,"Set Rate",NA
"Saint Mary's University","MN",56080,"91%-100%",NA,NA,NA,19,23,26,"Full Tuition",NA
"St. Catherine University","MN",51245,"41%-60%","35500","3265","0.6739",19,NA,25,"Full Tuition",13189
"University of Northwestern - St. Paul","MN",43404,"11%-40%","28730","1954","0.8677",21,NA,27,"Other Tuition",6404
"University of St. Thomas","MN",53440,"11%-40%","38105","6076","0.8396",24,NA,29,"Set Rate",9406
"Belhaven University","MS",34850,"11%-40%","21816","2653","0.508",18,21,23,"Full Tuition",11463.248
"Millsaps College","MS",55280,"61%-90%","35510","757","0.5264",23,NA,28,"Full Tuition",17213.28
"Mississippi College","MS",32302,"91%-100%","16064","2898","0.8248",21,NA,27,"Full Tuition",15081.392
"Avila University","MO",40320,"11%-40%","26450","1369","0.5089",18,NA,24,"Full Tuition",11965.6
"Central Methodist University","MO",35140,"",NA,NA,NA,NA,NA,NA,"",NA
"Columbia College","MO",34020,"41%-60%","8240","13418","NULL",20,23,26,"Full Tuition",25186.72
"Culver-Stockton College","MO",38850,"11%-40%","24900","973","0.5589",18,NA,23,"Full Tuition",12157.2
"Drury University","MO",39441,"41%-60%","24905","3082","0.842",23,NA,29,"Full Tuition",12742.84
"Fontbonne University","MO",40776,"Below 10%","23790","1086","0.9676",20,NA,25,"Full Tuition",15273.12
"Hannibal-LaGrange University","MO",34062,"91%-100%","21110","847","0.5873",19,22,25,"Full Tuition",11432.08
"Kansas City Art Institute","MO",54450,"11%-40%","35270","642","0.5802",20,NA,26,"Full Tuition",16640.56
"Lindenwood University","MO",30560,"",NA,NA,NA,NA,NA,NA,"",NA
"Logan University","MO",NA,"Below 10%","NULL","52","NULL",NA,NA,NA,"Other Tuition",NA
"Maryville University","MO",47542,"11%-40%",NA,NA,NA,23,NA,27,"Full Tuition",NA
"Missouri Baptist University","MO",40294,"11%-40%","23886","1740","0.5744",18,NA,23,"Full Tuition",14688.208
"not accepting Imports for 18-19 Northwest Missouri State University","MO",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Other Tuition",NA
"Park University","MO",41210,"91%-100%","11470","10105","0.4038",20,22,24,"Full Tuition",28914.16
"Rockhurst University","MO",52291,"11%-40%","34790","1555","0.7358",23,NA,28,"Full Tuition",14996.12
"Saint Louis University","MO",57214,"11%-40%","39226","7502","0.6333",25,NA,31,"Full Tuition",15163.728
"Southwest Baptist University","MO",34390,"11%-40%","21908","2394","0.9047",20,NA,26,"Full Tuition",10904.624
"Stephens College","MO",44068,"41%-60%","29176","710","0.6779",20,NA,24,"Other Tuition",7068
"Webster University","MO",41119,"61%-90%","25500","3150","0.5612",21,NA,27,"Full Tuition",13783
"Westminster College","MO",40510,"41%-60%","23480","940","0.6367",21,NA,26,"Full Tuition",15339.44
"William Jewell College","MO",47928,"11%-40%","32330","1053","0.4938",23,NA,28,"Full Tuition",13270.24
"William Woods University","MO",38860,"91%-100%","22160","968","0.7312",19,NA,26,"Full Tuition",15104.48
"Carroll College","MT",48754,"11%-40%","30754","1428","0.641",22,NA,27,"Full Tuition",15785.712
"Rocky Mountain College","MT",40276,"91%-100%","25742","906","0.6985",20,NA,25,"Full Tuition",12680.576
"University of Providence","MT",NA,"41%-60%",NA,NA,NA,23,26,28,"Full Tuition",NA
"College of Saint Mary","NE",39361.02,"Below 10%","28964","705","0.6146",19,22,25,"Full Tuition",8311.612
"Concordia University","NE",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Creighton University","NE",53452,"41%-60%","36422","4080","0.7048",24,NA,29,"Full Tuition",14407.616
"Doane University","NE",NA,"61%-90%",NA,NA,NA,20,23,26,"Full Tuition",NA
"Hastings College","NE",42340,"91%-100%","27300","1103","0.7115",20,NA,26,"Full Tuition",13074.4
"Midland University","NE",43820,"Below 10%","29400","1220","0.6063",18,NA,23,"Other Tuition",6820
"Nebraska Methodist College","NE",NA,"Below 10%",NA,NA,NA,22,24,26,"Full Tuition",NA
"Nebraska Wesleyan University","NE",46526,"11%-40%","29800","1781","0.788",22,NA,27,"Full Tuition",14580.4
"Sierra Nevada College","NV",49003,"11%-40%","29994","498","0.657",18,NA,27,"Full Tuition",16849.432
"Antioch University New England","NH",NA,"11%-40%","NULL","NULL","NULL",NA,NA,NA,"Other Tuition",NA
"Colby-Sawyer College","NH",55786,"41%-60%","38860","1205","0.9019",NA,NA,NA,"Set Rate",18786
"Franklin Pierce University- NH","NH",NA,"91%-100%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"New England College","NH",54578,"91%-100%","34606","1886","0.9775",11,15,18,"Full Tuition",17480.368
"New Hampshire Institute of Art","NH",41840,"91%-100%","24690","380","NULL",NA,NA,NA,"Full Tuition",15372.32
"Rivier University","NH",46350,"11%-40%","29700","1344","0.5732",13,15,18,"Full Tuition",14511.6
"Saint Anselm College","NH",56636,"61%-90%","37904","1908","0.729",24,25,28,"Full Tuition",16002.912
"Southern New Hampshire University","NH",50436,"11%-40%","30386","42247","0.9171",NA,11,NA,"Full Tuition",17862.208
"Bloomfield College","NJ",42250,"91%-100%","27800","1937","0.597",15,NA,19,"Full Tuition",12448.4
"Caldwell University -  NJ","NJ",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Centenary University","NJ",43690,"61%-90%","31754","1548","0.8676",17,NA,24,"Full Tuition",9649.712
"College of Saint Elizabeth, The","NJ",49245,"91%-100%",NA,NA,NA,NA,10,NA,"Other Tuition",NA
"Drew University","NJ",64267.41,"41%-60%","46684","1346","0.7031",22,25,29,"Full Tuition",14222.162
"Fairleigh Dickinson University","NJ",60426,"91%-100%",NA,NA,NA,NA,11,NA,"Set Rate",NA
"Georgian Court University","NJ",51018,"91%-100%","31618","1352","0.7284",NA,NA,NA,"Full Tuition",17123.504
"Monmouth University","NJ",55072,"61%-90%","33729","4661","0.7419",20,NA,25,"Full Tuition",18914.512
"Princeton Theological Seminary","NJ",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Full Tuition",NA
"Rider University","NJ",59510,"11%-40%","38360","4039","0.6901",19,NA,25,"Full Tuition",18388.08
"Saint Peter's University","NJ",54036,"91%-100%","34198","2424","0.6731",16,NA,21,"Full Tuition",17375.744
"Seton Hall University","NJ",59062,"11%-40%","38072","5818","0.7625",23,NA,27,"Full Tuition",18248.816
"Stevens Institute of Technology","NJ",67784,"11%-40%","47190","2956","0.4356",29,NA,32,"Set Rate",30784
"Stockton University of NJ","NJ",NA,"91%-100%",NA,NA,NA,10,12,19,"Full Tuition",NA
"Adelphi University","NY",56616,"11%-40%","34034","4813","0.7219",19,NA,25,"Full Tuition",20131.552
"Albany Law School","NY",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Set Rate",NA
"Alfred University","NY",43545.79,"41%-60%","26261","1754","0.6841",21,NA,28,"Full Tuition",15393.998
"Bard College","NY",72362,"11%-40%","49906","1976","0.3217",12,14,26,"Set Rate",35362
"Canisius College","NY",52172,"41%-60%","34690","2552","0.8698",21,NA,27,"Full Tuition",14984.32
"Cazenovia College","NY",50216,"11%-40%","31754","1050","0.8149",10,18,21,"Full Tuition",16175.712
"Clarkson University","NY",66106,"11%-40%","44630","3153","0.6806",24,NA,30,"Set Rate",29106
"College of Mount Saint Vincent","NY",49525,"61%-90%","22490","1586","0.8606",18,NA,22,"Full Tuition",25415.72
"College of New Rochelle","NY",52954,"91%-100%",NA,NA,NA,10,20,22,"Other Tuition",NA
"College of Saint Rose","NY",47268,"11%-40%",NA,NA,NA,20,23,25,"Full Tuition",NA
"Concordia College","NY",49488,"Below 10%",NA,NA,NA,10,22,28,"Full Tuition",NA
"Daemen College","NY",43459,"11%-40%","25995","1968","0.5066",10,12,21,"Full Tuition",15592.36
"Dominican College of Blauvelt","NY",45568,"41%-60%","26450","1534","0.7147",17,NA,21,"Full Tuition",17213.6
"D'Youville College","NY",41478,"11%-40%","24370","1707","0.7262",21,NA,25,"Full Tuition",15353.36
"Elmira College","NY",55050,"61%-90%","39950","1252","0.7616",11,22,24,"Set Rate",18050
"Fordham University","NY",72239,"Below 10%","47317","8701","0.4757",27,NA,31,"Full Tuition",21515.176
"Hartwick College","NY",58027,"11%-40%","41440","1384","0.8076",11,21,26,"Other Tuition",21027
"Hilbert College","NY",33350,"91%-100%","20700","874","0.817",12,NA,15,"Full Tuition",11159.6
"Hobart and William Smith Colleges","NY",69160,"91%-100%",NA,NA,NA,26,28,30,"Set Rate",NA
"Hofstra University","NY",61460,"Below 10%","40460","6716","0.6106",10,12,24,"Full Tuition",18086.88
"Houghton College","NY",44408,"41%-60%","29458","1014","0.9457",21,NA,29,"Other Tuition",7408
"Iona College","NY",50870,"11%-40%","35324","3018","0.9121",20,NA,25,"Full Tuition",13002.672
"Keuka College","NY",47568,"11%-40%","28917","1716","0.7668",11,19,24,"Other Tuition",10568
"LeMoyne College","NY",47566.85,"41%-60%","32250","2769","0.6176",21,NA,25,"Full Tuition",12994.85
"Long Island University, Brooklyn Campus","NY",55198,"91%-100%",NA,NA,NA,18,22,26,"Full Tuition",NA
"Long Island University, LIU Post","NY",NA,"61%-90%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Manhattan College","NY",54053.19,"Below 10%","38580","3576","0.6685",22,NA,27,"Full Tuition",12695.43
"Manhattanville College","NY",56030,"91%-100%","36220","1743","0.7411",21,24,26,"Full Tuition",17202.16
"Marymount Manhattan College","NY",55850,"Below 10%","28700","1875","0.8381",20,NA,26,"Full Tuition",25083.6
"Medaille College","NY",45900,"61%-90%","26252","1521","0.6919",15,NA,23,"Full Tuition",17757.856
"Mercy College","NY",49150,"91%-100%","18076","6410","0.6569",NA,NA,NA,"Full Tuition",29772.528
"Molloy College","NY",50184,"91%-100%","28030","3373","0.7552",21,NA,26,"Full Tuition",20135.84
"Mount Saint Mary College","NY",47298,"91%-100%","28233","2140","0.8957",20,NA,24,"Full Tuition",17032.224
"Nazareth College","NY",50634,"11%-40%","31745","2078","0.7555",10,12,22,"Full Tuition",16603.36
"New York Institute of Technology","NY",54178,"11%-40%","33480","3951","0.6777",21,NA,26,"Other Tuition",17178
"Niagara University","NY",47400,"41%-60%","29900","3133","0.8474",20,NA,25,"Full Tuition",15347.2
"Nyack College","NY",40395,"11%-40%","24300","1540","0.9857",16,NA,22,"Full Tuition",14345.4
"Pace University","NY",65596,"11%-40%",NA,NA,NA,22,24,27,"Set Rate",NA
"Paul Smith's College of Arts & Sciences","NY",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Other Tuition",NA
"Pratt Institute","NY",65308,"11%-40%",NA,NA,NA,11,13,23,"Set Rate",NA
"Roberts Wesleyan College","NY",45388,"41%-60%","28630","1282","0.6632",20,NA,26,"Full Tuition",14696.64
"Rochester Inst. of Technology","NY",54758,"41%-60%",NA,NA,NA,NA,NA,NA,"Set Rate",NA
"Sage Colleges, The","NY",45197,"91%-100%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Sarah Lawrence College","NY",71256,"Below 10%","51038","1283","0.5338",27,29,31,"Set Rate",34256
"Skidmore College","NY",69450,"11%-40%","49120","2619","0.365",26,NA,30,"Set Rate",32450
"St. Bonaventure University","NY",47346,"11%-40%","31389","1637","0.6599",21,NA,27,"Full Tuition",13696.992
"St. Francis College","NY",NA,"11%-40%","23800","2578","0.7878",17,NA,22,"Full Tuition",NA
"St. John Fisher College","NY",47770,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"St. John's University","NY",55872,"91%-100%",NA,NA,NA,22,23,27,"Set Rate",NA
"St. Joseph's College","NY",41566,"91%-100%",NA,NA,NA,11,18,24,"Full Tuition",NA
"St. Lawrence University","NY",68296,"11%-40%","49420","2347","0.4617",26,28,30,"Set Rate",31296
"St. Thomas Aquinas College","NY",47250,"91%-100%","28740","1170","0.7888",18,NA,22,"Full Tuition",16440.72
"Syracuse University","NY",65480,"91%-100%","43318","14620","0.4833",24,NA,29,"Set Rate",28480
"Trocaire College","NY",22651.9,"91%-100%","16290","1230","0.5033",NA,NA,NA,"Full Tuition",5189.02
"Utica College","NY",49973.28,"11%-40%","34466","3041","0.829",20,22,24,"Full Tuition",13025.728
"Vaughn College","NY",44759,"91%-100%",NA,NA,NA,11,19,22,"Full Tuition",NA
"Villa Maria College","NY",26006.35,"61%-90%","20260","541","0.8476",NA,NA,NA,"Other Tuition",-10993.65
"Wagner College","NY",62131,"11%-40%","42480","1748","0.685",11,13,22,"Set Rate",25131
"Wells College","NY",55180,"11%-40%","37500","548","0.627",21,NA,25,"Set Rate",18180
"Barton College","NC",45454,"41%-60%","27941","975","0.4178",18,NA,23,"Full Tuition",15501.248
"Belmont Abbey College","NC",32990,"11%-40%","18500","1482","0.6787",19,NA,25,"Full Tuition",13158
"Campbell University","NC",48603.68,"11%-40%","28820","4401","0.735",19,NA,24,"Full Tuition",17708.64
"Catawba College","NC",44921,"11%-40%","28730","1254","0.3179",18,NA,24,"Full Tuition",14122.44
"Chowan University","NC",36320,"Below 10%","23400","1514","0.6175",14,NA,17,"Full Tuition",11235.2
"Elon University","NC",49642,"Below 10%","32172","5903","0.572",25,NA,29,"Full Tuition",15153.616
"Gardner-Webb University","NC",42744,"11%-40%","28280","2626","0.5269",18,NA,24,"Full Tuition",12427.84
"Greensboro College","NC",43620,"11%-40%","26900","758","0.7525",16,NA,20,"Other Tuition",6620
"Guilford College","NC",49497,"Below 10%","34090","1768","0.629",18,NA,22,"Full Tuition",12952.52
"High Point University","NC",51105,"Below 10%","32430","4362","0.7249",22,NA,27,"Other Tuition",14105
"Johnson & Wales University","NC",47678,"41%-60%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Lees-McRae College","NC",43570,"11%-40%","25404","1032","0.665",18,21,23,"Full Tuition",16336.912
"Lenoir-Rhyne University","NC",51260,"41%-60%","32140","1412","0.8435",13,16,18,"Other Tuition",14260
"Mars Hill University","NC",43204,"91%-100%","29382","1353","0.6096",17,NA,22,"Full Tuition",11706.496
"Meredith College","NC",49234,"41%-60%","33730","1651","0.6002",20,NA,25,"Full Tuition",13075.44
"Methodist University","NC",51714.17,"91%-100%","30530","2173","0.5594",17,NA,23,"Full Tuition",18986.01
"Mid-Atlantic Christian University","NC",26800,"91%-100%","13440","203","0.4196",16,NA,23,"Other Tuition",-10200
"North Carolina Wesleyan College","NC",43400,"41%-60%","28150","2112","0.5545",16,NA,22,"Full Tuition",13223.2
"Pfeiffer University","NC",44682,"91%-100%","27125","909","0.4653",17,NA,22,"Full Tuition",15604
"Queens University of Charlotte","NC",50446,"41%-60%","32560","1551","0.6712",21,NA,26,"Full Tuition",15541.68
"Salem Academy & College","NC",NA,"91%-100%",NA,NA,NA,20,24,28,"Full Tuition",NA
"St. Andrews University","NC",42770,"91%-100%","24390","620","0.5732",17,NA,22,"Full Tuition",16623.92
"Warren Wilson College","NC",49744,"41%-60%","32560","749","0.8381",21,NA,28,"Full Tuition",14839.68
"William Peace University","NC",44030,"Below 10%","25850","1038","0.5019",15,NA,21,"Full Tuition",16318.8
"Wingate University","NC",46700,"11%-40%","27930","2015","0.6981",20,NA,25,"Full Tuition",16759.04
"Ashland University","OH",33755.29,"11%-40%","20242","3218","0.7674",20,NA,25,"Full Tuition",12055.866
"Aultman College","OH",NA,"Below 10%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Baldwin Wallace University","OH",46004,"11%-40%","29908","3300","0.6019",10,12,20,"Full Tuition",13942.624
"Bluffton University","OH",46156,"11%-40%","30168","833","0.5357",18,NA,23,"Full Tuition",13815.904
"Capital University","OH",48674,"11%-40%","32830","2654","0.7193",22,NA,28,"Full Tuition",13480.24
"Case Western Reserve University","OH",65384,"11%-40%","44560","5039","0.3627",30,NA,33,"Set Rate",28384
"Cleveland Institute of Art","OH",58860,"41%-60%","38487","600","0.6491",20,NA,27,"Set Rate",21860
"College of Wooster, The","OH",61900,"11%-40%",NA,NA,NA,25,27,30,"Set Rate",NA
"Columbus College of Art & Design","OH",48830,"91%-100%",NA,NA,NA,21,NA,22,"Full Tuition",NA
"Defiance College","OH",46100,"91%-100%","31082","658","0.6521",19,NA,24,"Full Tuition",12780.096
"Franklin University","OH",50177,"91%-100%","11641","4049","NULL",19,22,24,"Full Tuition",37697.848
"Heidelberg University","OH",43400,"61%-90%","28500","1011","0.789",19,NA,25,"Full Tuition",12848
"Hiram College","OH",47535,"91%-100%","31530","1063","0.5762",20,NA,27,"Full Tuition",13734.84
"John Carroll University","OH",55370,"41%-60%","37180","3064","0.8202",22,NA,28,"Full Tuition",15513.04
"Lake Erie College","OH",44732,"Below 10%","29162","788","0.5631",19,NA,23,"Full Tuition",13470.336
"Lourdes University ","OH",35290,"91%-100%","19370","1171","0.6922",18,NA,24,"Full Tuition",14525.36
"Malone University","OH",43400,"41%-60%","27960","1293","0.6884",19,NA,25,"Full Tuition",13426.88
"Marietta College","OH",47360,"11%-40%","34300","1215","0.7202",21,NA,27,"Full Tuition",10590.4
"Mercy College of Ohio","OH",24623.91,"91%-100%","12530","1239","0.5259",NA,NA,NA,"Full Tuition",11191.75
"Mount St. Joseph University","OH",NA,"11%-40%",NA,NA,NA,19,22,24,"Other Tuition",NA
"Mount Vernon Nazarene University","OH",40610,"11%-40%","25748","1686","0.7762",20,NA,25,"Full Tuition",13008.144
"Muskingum University","OH",41602,"91%-100%","25776","1580","0.739",18,NA,24,"Full Tuition",13970.128
"Notre Dame College","OH",42740,"11%-40%","27520","1753","0.9127",17,NA,21,"Full Tuition",13238.56
"Ohio Christian University","OH",36286,"91%-100%","18840","3485","NULL",17,20,22,"Full Tuition",16089.52
"Ohio Dominican University","OH",45220,"Below 10%","30270","1213","0.8085",19,NA,24,"Full Tuition",12770.56
"Ohio Northern University","OH",46118,"11%-40%","28810","2116","0.6905",23,NA,28,"Other Tuition",9118
"Ohio Wesleyan University","OH",60190,"41%-60%","43230","1665","0.7483",10,13,22,"Set Rate",23190
"Otterbein University","OH",46655,"11%-40%","31624","2235","0.7532",22,NA,27,"Full Tuition",12754.072
"Tiffin University","OH",38250,"41%-60%","22165","2305","0.9314",11,18,21,"Other Tuition",1250
"University of Dayton","OH",53542,"Below 10%","39090","8556","0.5752",24,NA,29,"Set Rate",16542
"University of Findlay","OH",44715,"61%-90%",NA,NA,NA,20,NA,25,"Other Tuition",NA
"University of Mount Union","OH",42725,"91%-100%","28550","2061","0.7501",21,NA,26,"Other Tuition",5725
"Ursuline College","OH",43596,"61%-90%","28520","641","0.8797",19,NA,24,"Full Tuition",13022.56
"Walsh University","OH",43112,"11%-40%","27710","2156","0.803",18,23,27,"Full Tuition",13406.88
"Wilmington College","OH",44033.71,"41%-60%","24500","1112","0.9295",19,NA,22,"Full Tuition",17769.71
"Wittenberg University","OH",51856,"11%-40%","38090","1805","0.7686",22,25,28,"Set Rate",14856
"Xavier University","OH",51338.6,"41%-60%","35080","4460","0.7158",22,NA,27,"Full Tuition",13732.84
"Oklahoma City University","OK",48332.97,"91%-100%","30726","1791","0.7017",22,NA,28,"Other Tuition",11332.97
"University of Tulsa, The","OK",59385,"61%-90%",NA,NA,NA,26,29,32,"Full Tuition",19000
"Concordia University - Portland","OR",43114,"41%-60%","28510","1168","0.5056",19,NA,24,"Full Tuition",12551.28
"George Fox University","OR",48902,"11%-40%","33142","2567","0.7661",21,NA,27,"Full Tuition",13373.776
"Lewis & Clark College","OR",64186,"11%-40%","45104","2087","0.6283",27,29,31,"Set Rate",27186
"Linfield College","OR",56712,"11%-40%",NA,NA,NA,10,12,20,"Full Tuition",NA
"Marylhurst University","OR",NA,"11%-40%","20835","503","1",NA,NA,NA,"Full Tuition",NA
"Northwest Christian University","OR",40720,"11%-40%","27270","528","0.6802",19,NA,23,"Full Tuition",11486.56
"Pacific University","OR",55956.72,"61%-90%","39858","1884","0.7903",21,NA,26,"Full Tuition",13228.944
"University of Portland","OR",57929.8,"11%-40%","42288","3741","0.6196",10,NA,13,"Full Tuition",12597.064
"Warner Pacific College","OR",37870,"61%-90%","21460","519","0.5134",12,15,16,"Full Tuition",14864.88
"Willamette University","OR",60988,"11%-40%","45617","1925","0.7794",25,NA,30,"Full Tuition",12086.576
"Albright College","PA",58320,"11%-40%","39850","2228","0.4917",11,20,25,"Full Tuition",15600.8
"Allegheny College","PA",61120,"11%-40%","42470","1896","0.6834",22,NA,29,"Set Rate",24120
"Alvernia University","PA",49330,"91%-100%","31100","2177","0.7425",19,NA,24,"Full Tuition",15990.8
"Arcadia University","PA",57490,"11%-40%","39560","2501","0.5926",22,NA,27,"Set Rate",20490
"Bucknell University","PA",70125,"11%-40%","50152","3522","0.2478",28,NA,32,"Other Tuition",33125
"Cabrini University","PA",46390,"41%-60%","29842","1377","0.7244",NA,10,NA,"Full Tuition",14399.376
"Carlow University","PA",43186,"11%-40%","26832","1377","0.8074",19,NA,23,"Full Tuition",14422.096
"Cedar Crest College","PA",52150,"61%-90%","35600","1360","0.675",19,NA,26,"Full Tuition",13986.8
"Chatham University","PA",53176,"91%-100%","34440","695","0.5483",21,23,26,"Full Tuition",16256.32
"Chestnut Hill College","PA",55362,"Below 10%","33130","1405","0.9259",17,NA,24,"Full Tuition",19846.64
"Delaware Valley University","PA",54750,"61%-90%","35256","1896","0.687",18,NA,25,"Set Rate",17750
"DeSales University","PA",52340,"61%-90%","33350","2291","0.7761",21,NA,28,"Full Tuition",16588.8
"Dickinson College","PA",69971,"41%-60%","49489","2381","0.4711",12,14,27,"Set Rate",32971
"Drexel University","PA",68792,"Below 10%","48791","16227","0.7474",25,NA,30,"Set Rate",31792
"Duquesne University","PA",52108,"11%-40%","33778","5943","0.7563",23,NA,28,"Full Tuition",15897.984
"Eastern University","PA",45993.95,"41%-60%","30640","2163","0.5223",18,NA,27,"Full Tuition",13147.87
"Elizabethtown College","PA",58490,"11%-40%","41710","1762","0.7072",23,NA,28,"Other Tuition",21490
"Franklin & Marshall College","PA",70730,"11%-40%",NA,NA,NA,28,NA,31,"Set Rate",NA
"Gannon University","PA",46876,"11%-40%","29258","2661","0.7577",20,NA,25,"Full Tuition",15511.424
"Geisinger Commonwealth School of Medicine","PA",NA,"Below 10%",NA,NA,NA,NA,NA,NA,"Other Tuition",NA
"Geneva College","PA",38180,"11%-40%","25450","1459","0.733",21,NA,27,"Full Tuition",10897.6
"Gettysburg College","PA",67710,"11%-40%","49140","2442","0.3977",27,NA,29,"Set Rate",30710
"Grove City College","PA",28504,"11%-40%",NA,NA,NA,24,27,29,"Full Tuition",NA
"Gwynedd Mercy University","PA",46812.5,"41%-60%","31360","1935","0.685",18,NA,22,"Full Tuition",13194.58
"Harrisburg University","PA",NA,"91%-100%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Holy Family University","PA",46552,"91%-100%","29168","1824","0.7395",11,16,19,"Full Tuition",15283.904
"Immaculata University","PA",53990.06,"11%-40%","33280","1693","0.7861",20,NA,23,"Full Tuition",18313.9
"Juniata College","PA",58165,"11%-40%","40600","1470","0.7692",11,23,25,"Full Tuition",14641.8
"Keystone College","PA",41720,"91%-100%","24300","1325","0.978",16,NA,22,"Full Tuition",15670.4
"King's College","PA",51640,"61%-90%","33090","1859","0.7158",10,12,24,"Full Tuition",16167.52
"La Roche College","PA",42570,"11%-40%","26250","1359","0.9546",17,NA,23,"Full Tuition",14430
"Lafayette College","PA",66890,"11%-40%","47760","2505","0.3025",27,NA,31,"Set Rate",29890
"LaSalle University","PA",55281.55,"61%-90%","41100","3801","0.7492",18,NA,23,"Full Tuition",11222.35
"Lebanon Valley College -PA","PA",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Lycoming College","PA",54023,"91%-100%","35900","1260","0.7122",20,NA,25,"Full Tuition",15538.2
"Marywood University","PA",50340,"11%-40%","32692","1820","0.7052",13,NA,16,"Full Tuition",15294.176
"Mercyhurst University","PA",51541,"41%-60%","33314","2490","0.8039",12,20,23,"Full Tuition",15828.392
"Misericordia University","PA",47460,"11%-40%","29840","2342","0.7147",22,NA,27,"Full Tuition",15471.52
"Moore College of Art and Design","PA",60454,"11%-40%","36828","405","0.8683",11,15,18,"Set Rate",23454
"Moravian College","PA",58718,"11%-40%","38832","1765","0.7457",19,NA,23,"Set Rate",21718
"Mount Aloysius College","PA",38268,"41%-60%","21360","1472","0.7286",17,NA,21,"Full Tuition",15370.08
"Muhlenberg College","PA",65330,"11%-40%","45875","2330","0.4837",25,NA,31,"Set Rate",28330
"Neumann University","PA",46028,"11%-40%","26918","2358","0.9081",17,NA,21,"Full Tuition",17171.904
"Peirce College","PA",18832,"41%-60%","14184","1622","NULL",NA,NA,NA,"Full Tuition",3626.752
"Philadelphia University","PA",53849.89,"41%-60%","36670","2726","0.642",21,NA,26,"Full Tuition",14539.65
"Pittsburgh Theological Seminary","PA",NA,"91%-100%","NULL","NULL","NULL",NA,NA,NA,"Full Tuition",NA
"Point Park University","PA",45590,"11%-40%","28250","3140","0.7053",19,NA,25,"Set Rate",8590
"Robert Morris University","PA",45072,"91%-100%","27194","4485","0.7766",20,NA,26,"Full Tuition",15920.032
"Rosemont College","PA",50095.26,"Below 10%","32500","516","0.7063",15,NA,20,"Full Tuition",15255.26
"Saint Francis University","PA",51884,"91%-100%","32178","1714","0.7412",21,NA,26,"Other Tuition",14884
"Saint Joseph's University","PA",60788,"Below 10%","42180","5248","0.8185",11,13,23,"Full Tuition",15571.04
"Saint Vincent College","PA",49525,"91%-100%","32392","1596","0.6981",20,NA,26,"Full Tuition",14800.776
"Seton Hill University","PA",49710,"11%-40%","32420","1581","0.7645",20,24,27,"Full Tuition",14955.76
"Susquehanna University","PA",59780,"11%-40%","42040","2122","0.7605",23,25,27,"Full Tuition",14713.12
"Thiel College","PA",46850,"61%-90%","28868","883","0.6149",17,NA,21,"Full Tuition",15903.504
"University of Pittsburgh","PA",44812,"Below 10%",NA,NA,NA,26,29,31,"Other Tuition",14400
"University of Sciences in Philadelphia","PA",60141,"61%-90%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"University of Scranton","PA",61028,"11%-40%","41044","3793","0.7221",22,NA,28,"Full Tuition",17028.832
"University of the Arts, The","PA",21862,"11%-40%",NA,NA,NA,14,17,19,"Set Rate",NA
"Ursinus College","PA",66242,"61%-90%","47700","1629","0.8261",23,26,30,"Other Tuition",29242
